"02 de enero","Combined Print & E-Book Fiction","1","Amanda Gorman","CALL US WHAT WE CARRY","2","Poesía"
"02 de enero","Combined Print & E-Book Fiction","2"," John Grisham","THE JUDGE'S LIST","9","Thriller"
"02 de enero","Combined Print & E-Book Fiction","3","Amor Towles","THE LINCOLN HIGHWAY","11","Coming of age"
"02 de enero","Combined Print & E-Book Fiction","4","Colleen Hoover","IT ENDS WITH US","27","Romance"
"02 de enero","Combined Print & E-Book Fiction","5","Mitch Albom","THE STRANGER IN THE LIFEBOAT","7","Misterio histórico "
"2 de enero","Combined Print & E-Book Fiction","6","Diana Gabaldon","GO TELL THE BEES THAT I AM GONE","4","Ciencia Ficción"
"2 de enero","Combined Print & E-Book Fiction","7","Nicholas Sparks","THE WISH","12","Romance"
"2 de enero","Combined Print & E-Book Fiction","8","Jodi Picoult","WISH YOU WERE HERE","3","Thriller"
"2 de enero","Combined Print & E-Book Fiction","9","James Patterson","FEAR NO EVIL","3","Thriller"
"2 de enero","Combined Print & E-Book Fiction","10","Anthony Doerr","CLOUD CUCKOO LAND","10","Ciencia Ficción"
"2 de enero","Combined Print & E-Book Fiction","11","Taylor Jenkins Reid","THE SEVEN HUSBANDS OF EVELYN HUGO","25","Romance"
"2 de enero","Combined Print & E-Book Fiction","12","Matt Haig","THE MIDNIGHT LIBRARY","46","Ciencia Ficción"
"2 de enero","Combined Print & E-Book Fiction","13","Laura Dave","THE LAST THING HE TOLD ME","27","Thriller"
"2 de enero","Combined Print & E-Book Fiction","14","Colleen Hoover","VERITY","3","Thriller"
"2 de enero","Combined Print & E-Book Fiction","15"," Delia Owens","WHERE THE CRAWDADS SING","148","Thriller"
"2 de enero","Combined Print & E-Book Nonfiction","1","Nikole Hannah-Jones","THE 1619 PROJECT","5","Historia"
"2 de enero","Combined Print & E-Book Nonfiction","2"," Dave Grohl","THE STORYTELLER","11","Autobiografía"
"2 de enero","Combined Print & E-Book Nonfiction","3","Will Smith","WILL","6","Autobiografía"
"2 de enero","Combined Print & E-Book Nonfiction","4","Paul McCartney","THE LYRICS: 1956 TO THE PRESENT","7","Biografía"
"2 de enero","Combined Print & E-Book Nonfiction","5","Stanley Tucci","TASTE","10","Autobiografía"
